,laptop_ID,Company,TypeName,Inches,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,Memory_Type
1064,1079,1728.908148148148,1731.3806341463417,15.6,1595.7791081593928,16,256,1651.3279574468086,1168.1394776119403,1.8,1929.0,1388.7893357058124
1065,1080,1186.06898989899,1548.2303571428572,13.3,1595.7791081593928,8,256,969.882738654147,1168.1394776119403,1.29,1458.0,1388.7893357058124
1066,1081,1104.1693670886077,1731.3806341463417,17.3,1595.7791081593928,64,1024,1651.3279574468086,1168.1394776119403,3.58,3975.0,1388.7893357058124
1067,1082,1186.06898989899,1282.401652892562,13.3,1595.7791081593928,8,256,969.882738654147,1168.1394776119403,1.62,798.01,1388.7893357058124
1068,1083,1186.06898989899,1731.3806341463417,15.6,1595.7791081593928,16,256,1651.3279574468086,1168.1394776119403,3.21,1329.0,1388.7893357058124
1069,1084,1564.1985714285713,1548.2303571428572,12.0,1324.2315789473685,8,256,969.882738654147,1262.87125,0.92,1300.0,527.6082666666667
1070,1085,1186.06898989899,782.0786244841817,15.6,541.625955882353,4,500,969.882738654147,1168.1394776119403,2.06,481.98,655.29776
1071,1086,1067.7748540145985,782.0786244841817,15.6,1015.0152482269503,4,500,969.882738654147,1168.1394776119403,2.31,1199.0,655.29776
1072,1087,1067.7748540145985,1548.2303571428572,12.5,1015.0152482269503,8,256,969.882738654147,1686.6513333333332,1.26,1199.0,1388.7893357058124
1073,1088,1067.7748540145985,782.0786244841817,13.3,1595.7791081593928,8,256,969.882738654147,1168.1394776119403,1.49,1090.0,1388.7893357058124
1074,1089,1086.3844444444444,1548.2303571428572,12.5,1595.7791081593928,8,256,969.882738654147,1168.1394776119403,1.3,1713.49,1388.7893357058124
1075,1090,1086.3844444444444,782.0786244841817,17.3,1015.0152482269503,8,1024,588.5527777777778,1168.1394776119403,3.0,659.0,655.29776
1076,1091,1086.3844444444444,782.0786244841817,15.6,1015.0152482269503,4,1024,1651.3279574468086,1168.1394776119403,2.3,977.0,655.29776
1077,1092,1728.908148148148,1731.3806341463417,17.3,1595.7791081593928,16,256,1651.3279574468086,1168.1394776119403,3.78,2499.0,1388.7893357058124
1078,1093,1086.3844444444444,782.0786244841817,15.6,1015.0152482269503,4,500,969.882738654147,1168.1394776119403,2.1,540.0,655.29776
1079,1094,1067.7748540145985,782.0786244841817,15.6,1015.0152482269503,4,500,969.882738654147,1686.6513333333332,2.31,940.0,655.29776
1080,1095,1086.3844444444444,1548.2303571428572,12.5,1324.2315789473685,8,512,969.882738654147,1168.1394776119403,0.99,1399.0,1388.7893357058124
1081,1096,1086.3844444444444,1731.3806341463417,17.3,1595.7791081593928,32,512,1651.3279574468086,1168.1394776119403,4.6,3240.0,1388.7893357058124
1082,1097,1086.3844444444444,1282.401652892562,10.1,498.3175,4,64,969.882738654147,1168.1394776119403,0.69,646.27,527.6082666666667
1083,1098,1067.7748540145985,1548.2303571428572,13.3,1595.7791081593928,16,512,969.882738654147,1168.1394776119403,1.3,2049.0,1388.7893357058124
1084,1099,1186.06898989899,782.0786244841817,15.6,1015.0152482269503,8,256,969.882738654147,1168.1394776119403,2.18,750.0,1388.7893357058124
1085,1100,1067.7748540145985,782.0786244841817,14.0,1015.0152482269503,4,500,969.882738654147,1686.6513333333332,1.54,1030.99,655.29776
1086,1101,1067.7748540145985,2280.3589655172414,15.6,1595.7791081593928,8,256,1306.0,1686.6513333333332,1.9,1495.0,1388.7893357058124
1087,1102,1086.3844444444444,782.0786244841817,14.0,1015.0152482269503,8,180,969.882738654147,1686.6513333333332,1.7,1199.0,1388.7893357058124
1088,1103,1067.7748540145985,782.0786244841817,13.3,565.3000000000001,4,32,969.882738654147,553.5851851851852,1.29,615.0,527.6082666666667
1089,1104,626.7758252427184,782.0786244841817,15.6,448.5,4,500,588.5527777777778,1168.1394776119403,2.4,387.0,655.29776
1090,1105,1186.06898989899,782.0786244841817,15.6,421.1222222222222,4,500,969.882738654147,617.0688709677419,2.2,393.49,655.29776
1091,1106,1067.7748540145985,782.0786244841817,15.6,541.625955882353,4,1024,969.882738654147,587.9733333333334,1.86,345.99,655.29776
1092,1107,1104.1693670886077,1731.3806341463417,17.3,1595.7791081593928,8,256,1651.3279574468086,1168.1394776119403,2.7,1599.0,1388.7893357058124
1093,1108,1186.06898989899,1548.2303571428572,13.3,1015.0152482269503,4,256,864.4795121951221,1168.1394776119403,1.4,818.35,1388.7893357058124
1094,1109,1067.7748540145985,636.232,12.5,1015.0152482269503,4,128,969.882738654147,1686.6513333333332,2.4,1599.0,1388.7893357058124
1095,1110,626.7758252427184,782.0786244841817,15.6,1015.0152482269503,8,256,1651.3279574468086,1168.1394776119403,2.4,799.0,1388.7893357058124
1096,1111,1186.06898989899,782.0786244841817,15.6,1015.0152482269503,8,1024,796.1311538461539,1168.1394776119403,2.36,638.8,655.29776
1097,1112,1728.908148148148,1731.3806341463417,17.3,1595.7791081593928,8,256,1651.3279574468086,1168.1394776119403,2.6,1599.0,1388.7893357058124
1098,1113,1067.7748540145985,782.0786244841817,15.6,421.1222222222222,4,1024,969.882738654147,1168.1394776119403,1.96,500.0,655.29776
1099,1114,1104.1693670886077,1731.3806341463417,17.3,1595.7791081593928,16,128,1651.3279574468086,1168.1394776119403,4.3,2299.0,1388.7893357058124
1100,1115,1186.06898989899,1548.2303571428572,12.5,541.625955882353,4,500,969.882738654147,1686.6513333333332,1.5,1135.15,655.29776
1101,1116,1186.06898989899,1548.2303571428572,12.5,541.625955882353,4,128,969.882738654147,1686.6513333333332,1.5,1166.97,1388.7893357058124
1102,1117,626.7758252427184,782.0786244841817,15.6,312.236375,4,16,969.882738654147,553.5851851851852,2.2,209.0,1388.7893357058124
1103,1118,1067.7748540145985,2280.3589655172414,17.3,1595.7791081593928,8,1024,2899.0,1686.6513333333332,3.0,2899.0,655.29776
1104,1119,1086.3844444444444,1731.3806341463417,15.6,1595.7791081593928,16,512,1651.3279574468086,1168.1394776119403,2.4,1199.0,1388.7893357058124
1105,1120,1186.06898989899,1548.2303571428572,12.5,1015.0152482269503,8,256,969.882738654147,1686.6513333333332,1.5,1413.1,1388.7893357058124
1106,1121,1728.908148148148,1731.3806341463417,17.3,1595.7791081593928,8,128,1651.3279574468086,1168.1394776119403,2.9,1511.19,1388.7893357058124
1107,1122,1086.3844444444444,1282.401652892562,15.6,1015.0152482269503,4,256,969.882738654147,1168.1394776119403,2.1,867.0,1388.7893357058124
1108,1123,1067.7748540145985,782.0786244841817,15.6,403.81125,4,1024,392.04875,1168.1394776119403,2.1,398.0,655.29776
